Alpaca successfully connected
Loaded preprocessed data with shape (23968830, 16)
Getting Numpy arrays from data!

| `step`: Number of samples, or total training steps, or running times of `env.step()`.
| `time`: Time spent from the start of training to this moment.
| `avgR`: Average value of cumulative rewards, which is the sum of rewards in an episode.
| `stdR`: Standard dev of cumulative rewards, which is the sum of rewards in an episode.
| `avgS`: Average of steps in an episode.
| `objC`: Objective of Critic network. Or call it loss function of critic network.
| `objA`: Objective of Actor network. It is the average Q value of the critic network.
|     step      time  |     avgR    stdR    avgS  |     objC      objA
| 1.64e+06      3750  |    -0.89    0.00   12345  |     0.00      0.18
| 1.66e+06      3796  |    -0.89    0.00   12345  |     0.00      0.20
| 1.68e+06      3841  |    -0.93    0.00   12345  |     0.00      0.20
| 1.70e+06      3887  |    -1.10    0.00   12345  |     0.34      0.19
| 1.72e+06      3933  |    -0.86    0.00   12345  |     0.16      0.21
| 1.74e+06      3978  |    -0.86    0.00   12345  |     0.10      0.17
| 1.76e+06      4023  |    -0.97    0.00   12345  |     0.15      0.19
| 1.78e+06      4069  |    -0.87    0.00   12345  |     0.17      0.21
| 1.80e+06      4114  |    -0.94    0.00   12345  |     0.10      0.17
| 1.82e+06      4160  |    -1.06    0.00   12345  |     0.13      0.19
| 1.84e+06      4206  |    -0.89    0.00   12345  |     0.22      0.22
| 1.86e+06      4252  |    -0.90    0.00   12345  |     0.19      0.21
| 1.88e+06      4299  |    -0.87    0.00   12345  |     0.00      0.20
| 1.90e+06      4345  |    -1.06    0.00   12345  |     0.00      0.22
| 1.92e+06      4391  |    -1.01    0.00   12345  |     0.00      0.22
| 1.94e+06      4437  |    -0.93    0.00   12345  |     0.00      0.21
| 1.96e+06      4484  |    -0.97    0.00   12345  |     0.00      0.21
| 1.98e+06      4531  |    -0.97    0.00   12345  |     0.00      0.21
| 2.00e+06      4577  |    -0.88    0.00   12345  |     0.00      0.21
| 2.02e+06      4626  |    -1.01    0.00   12345  |     0.27      0.21
| 2.04e+06      4671  |    -1.03    0.00   12345  |     0.58      0.21
| 2.06e+06      4717  |    -0.91    0.00   12345  |     0.31      0.21
| 2.08e+06      4762  |    -0.96    0.00   12345  |     0.29      0.18
| 2.10e+06      4807  |    -0.94    0.00   12345  |     0.53      0.21
| 2.12e+06      4852  |    -1.01    0.00   12345  |     1.05      0.22
| 2.14e+06      4899  |    -0.89    0.00   12345  |     0.58      0.22
| 2.16e+06      4946  |    -0.94    0.00   12345  |     0.47      0.20
| 2.18e+06      4991  |    -0.92    0.00   12345  |     0.40      0.19
| 2.20e+06      5036  |    -0.90    0.00   12345  |     0.79      0.24
| 2.22e+06      5083  |    -0.89    0.00   12345  |     0.28      0.22
| 2.24e+06      5128  |    -0.89    0.00   12345  |     0.32      0.20
| 2.26e+06      5174  |    -0.88    0.00   12345  |     0.51      0.21
| 2.28e+06      5219  |    -1.00    0.00   12345  |     0.96      0.18
| 2.30e+06      5265  |    -1.02    0.00   12345  |     1.31      0.23
| 2.32e+06      5310  |    -1.03    0.00   12345  |     1.11      0.19
| 2.34e+06      5354  |    -0.96    0.00   12345  |     0.55      0.21
| 2.36e+06      5401  |    -1.05    0.00   12345  |     0.78      0.22
| 2.38e+06      5446  |    -1.06    0.00   12345  |     0.72      0.23
| 2.40e+06      5491  |    -0.85    0.00   12345  |     0.00      0.13
| 2.42e+06      5536  |    -0.88    0.00   12345  |     0.00      0.16
| 2.44e+06      5581  |    -1.18    0.00   12345  |     0.00      0.15
| 2.46e+06      5627  |    -0.88    0.00   12345  |     0.00      0.18
| 2.48e+06      5672  |    -0.85    0.00   12345  |     0.00      0.21
| 2.50e+06      5718  |    -0.89    0.00   12345  |     0.46      0.20
| 2.52e+06      5765  |    -1.18    0.00   12345  |     0.24      0.25
| 2.54e+06      5811  |    -1.26    0.00   12345  |     0.18      0.20
| 2.56e+06      5856  |    -0.86    0.00   12345  |     0.16      0.21
| 2.58e+06      5903  |    -0.91    0.00   12345  |     0.32      0.20
| 2.60e+06      5950  |    -0.92    0.00   12345  |     0.11      0.17
| 2.62e+06      5996  |    -0.86    0.00   12345  |     0.15      0.19
| 2.64e+06      6041  |    -0.88    0.00   12345  |     0.14      0.22
| 2.66e+06      6087  |    -0.79    0.00   12345  |     0.09      0.22
| 2.68e+06      6134  |    -0.88    0.00   12345  |     0.00      0.21
| 2.70e+06      6178  |    -0.88    0.00   12345  |     0.00      0.22
| 2.72e+06      6223  |    -0.79    0.00   12345  |     0.00      0.21
| 2.74e+06      6269  |    -0.97    0.00   12345  |     0.00      0.22
| 2.76e+06      6314  |    -0.95    0.00   12345  |     0.00      0.22
| 2.78e+06      6360  |    -0.99    0.00   12345  |     0.00      0.21
| 2.80e+06      6406  |    -0.88    0.00   12345  |     0.00      0.22
| 2.82e+06      6453  |    -0.91    0.00   12345  |     0.23      0.19
| 2.84e+06      6498  |    -0.95    0.00   12345  |     0.50      0.23
| 2.86e+06      6546  |    -0.85    0.00   12345  |     0.32      0.19
| 2.88e+06      6591  |    -0.91    0.00   12345  |     0.24      0.20
| 2.90e+06      6636  |    -0.85    0.00   12345  |     1.00      0.28
| 2.92e+06      6682  |    -1.10    0.00   12345  |     0.63      0.19
| 2.94e+06      6729  |    -0.85    0.00   12345  |     0.63      0.21
| 2.96e+06      6776  |    -0.94    0.00   12345  |     0.52      0.20
| 2.98e+06      6822  |    -0.86    0.00   12345  |     0.39      0.19
| 3.00e+06      6868  |    -1.00    0.00   12345  |     0.49      0.18
| 3.02e+06      6914  |    -0.95    0.00   12345  |     0.39      0.24
| 3.04e+06      6958  |    -1.00    0.00   12345  |     0.38      0.22
| 3.06e+06      7003  |    -0.88    0.00   12345  |     0.46      0.24
| 3.08e+06      7048  |    -1.00    0.00   12345  |     0.82      0.20
| 3.10e+06      7094  |    -0.90    0.00   12345  |     1.30      0.20
| 3.12e+06      7140  |    -1.11    0.00   12345  |     1.13      0.18
| 3.14e+06      7185  |    -0.91    0.00   12345  |     0.45      0.22
| 3.16e+06      7231  |    -0.92    0.00   12345  |     0.70      0.23
| 3.18e+06      7277  |    -0.92    0.00   12345  |     0.98      0.21
| 3.20e+06      7323  |    -0.84    0.00   12345  |     0.00      0.14
| 3.22e+06      7369  |    -0.88    0.00   12345  |     0.00      0.16
| 3.24e+06      7415  |    -1.11    0.00   12345  |     0.00      0.18
| 3.26e+06      7461  |    -1.13    0.00   12345  |     0.00      0.21
| 3.28e+06      7506  |    -0.94    0.00   12345  |     0.00      0.18
| 3.30e+06      7553  |    -1.15    0.00   12345  |     0.47      0.19
| 3.32e+06      7598  |    -1.10    0.00   12345  |     0.28      0.24
| 3.34e+06      7644  |    -0.86    0.00   12345  |     0.20      0.18
| 3.36e+06      7689  |    -1.16    0.00   12345  |     0.16      0.21
| 3.38e+06      7735  |    -1.09    0.00   12345  |     0.37      0.18
| 3.40e+06      7781  |    -0.86    0.00   12345  |     0.12      0.17
| 3.42e+06      7827  |    -1.24    0.00   12345  |     0.18      0.21
| 3.44e+06      7872  |    -0.89    0.00   12345  |     0.14      0.21
| 3.46e+06      7917  |    -1.16    0.00   12345  |     0.01      0.32
| 3.48e+06      7963  |    -1.21    0.00   12345  |     0.00      0.22
| 3.50e+06      8009  |    -1.28    0.00   12345  |     0.00      0.22
| 3.52e+06      8055  |    -0.91    0.00   12345  |     0.00      0.22
| 3.54e+06      8101  |    -1.14    0.00   12345  |     0.00      0.21
| 3.56e+06      8146  |    -1.21    0.00   12345  |     0.00      0.23
| 3.58e+06      8191  |    -0.90    0.00   12345  |     0.00      0.22
| 3.60e+06      8237  |    -0.79    0.00   12345  |     0.00      0.22
| 3.62e+06      8282  |    -1.09    0.00   12345  |     0.38      0.22
| 3.64e+06      8327  |    -0.91    0.00   12345  |     0.60      0.23
| 3.66e+06      8373  |    -0.87    0.00   12345  |     0.45      0.20
| 3.68e+06      8420  |    -0.93    0.00   12345  |     0.35      0.21
| 3.70e+06      8466  |    -0.84    0.00   12345  |     0.88      0.30
| 3.72e+06      8512  |    -1.12    0.00   12345  |     0.66      0.22
| 3.74e+06      8558  |    -0.91    0.00   12345  |     0.57      0.21
| 3.76e+06      8605  |    -1.22    0.00   12345  |     0.43      0.19
| 3.78e+06      8651  |    -0.95    0.00   12345  |     0.35      0.20
| 3.80e+06      8697  |    -1.10    0.00   12345  |     0.52      0.19
| 3.82e+06      8742  |    -0.95    0.00   12345  |     0.64      0.24
| 3.84e+06      8787  |    -1.09    0.00   12345  |     0.41      0.23
| 3.86e+06      8832  |    -0.94    0.00   12345  |     0.76      0.19
| 3.88e+06      8877  |    -0.93    0.00   12345  |     0.97      0.21
| 3.90e+06      8922  |    -0.96    0.00   12345  |     1.43      0.20
| 3.92e+06      8968  |    -1.20    0.00   12345  |     1.10      0.17
| 3.94e+06      9014  |    -1.11    0.00   12345  |     0.46      0.19
| 3.96e+06      9059  |    -0.79    0.00   12345  |     0.55      0.19
| 3.98e+06      9106  |    -1.15    0.00   12345  |     0.74      0.19
| 4.00e+06      9153  |    -1.14    0.00   12345  |     0.00      0.14
| 4.02e+06      9199  |    -1.11    0.00   12345  |     0.00      0.15
| 4.04e+06      9244  |    -0.88    0.00   12345  |     0.00      0.16
| 4.06e+06      9289  |    -1.16    0.00   12345  |     0.00      0.17
| 4.08e+06      9334  |    -1.21    0.00   12345  |     0.00      0.18
