Alpaca successfully connected
Loaded preprocessed data with shape (23968830, 16)
Getting Numpy arrays from data!

| `step`: Number of samples, or total training steps, or running times of `env.step()`.
| `time`: Time spent from the start of training to this moment.
| `avgR`: Average value of cumulative rewards, which is the sum of rewards in an episode.
| `stdR`: Standard dev of cumulative rewards, which is the sum of rewards in an episode.
| `avgS`: Average of steps in an episode.
| `objC`: Objective of Critic network. Or call it loss function of critic network.
| `objA`: Objective of Actor network. It is the average Q value of the critic network.
|     step      time  |     avgR    stdR    avgS  |     objC      objA
| 2.65e+07     57800  |    -1.30    0.00   12345  |     0.18      0.23
| 2.65e+07     57843  |    -1.40    0.00   12345  |     0.16      0.27
| 2.65e+07     57884  |    -1.14    0.00   12345  |     0.11      0.28
| 2.65e+07     57926  |    -1.01    0.00   12345  |     0.15      0.26
| 2.66e+07     57968  |    -1.23    0.00   12345  |     0.13      0.25
| 2.66e+07     58012  |    -0.99    0.00   12345  |     0.10      0.22
| 2.66e+07     58054  |    -1.19    0.00   12345  |     0.58      0.38
| 2.66e+07     58096  |    -1.06    0.00   12345  |     0.12      0.29
| 2.66e+07     58138  |    -0.97    0.00   12345  |     0.00      0.19
| 2.67e+07     58181  |    -0.93    0.00   12345  |     0.00      0.30
| 2.67e+07     58223  |    -1.38    0.00   12345  |     0.00      0.30
| 2.67e+07     58266  |    -0.97    0.00   12345  |     0.00      0.29
| 2.67e+07     58308  |    -1.44    0.00   12345  |     0.00      0.32
| 2.67e+07     58352  |    -1.22    0.00   12345  |     0.00      0.30
| 2.68e+07     58395  |    -1.45    0.00   12345  |     0.00      0.31
| 2.68e+07     58438  |    -0.94    0.00   12345  |     0.00      0.30
| 2.68e+07     58480  |    -0.99    0.00   12345  |     0.91      0.30
| 2.68e+07     58522  |    -1.54    0.00   12345  |     1.48      0.36
| 2.68e+07     58564  |    -1.02    0.00   12345  |     0.38      0.28
| 2.69e+07     58606  |    -0.97    0.00   12345  |     0.35      0.25
| 2.69e+07     58648  |    -1.11    0.00   12345  |     2.36      0.25
| 2.69e+07     58690  |    -1.02    0.00   12345  |     0.67      0.29
| 2.69e+07     58732  |    -1.10    0.00   12345  |     0.29      0.28
| 2.69e+07     58774  |    -1.34    0.00   12345  |     0.67      0.30
| 2.70e+07     58816  |    -0.94    0.00   12345  |     0.49      0.25
| 2.70e+07     58858  |    -1.07    0.00   12345  |     0.60      0.29
| 2.70e+07     58901  |    -1.20    0.00   12345  |     0.38      0.31
| 2.70e+07     58943  |    -1.01    0.00   12345  |     0.37      0.28
| 2.70e+07     58985  |    -1.36    0.00   12345  |     0.59      0.25
| 2.71e+07     59026  |    -1.25    0.00   12345  |     1.32      0.26
| 2.71e+07     59068  |    -0.96    0.00   12345  |     0.78      0.28
| 2.71e+07     59110  |    -1.31    0.00   12345  |     0.77      0.28
| 2.71e+07     59152  |    -1.02    0.00   12345  |     0.59      0.26
| 2.71e+07     59193  |    -1.36    0.00   12345  |     0.92      0.30
| 2.72e+07     59236  |    -1.06    0.00   12345  |     0.49      0.28
| 2.72e+07     59279  |    -0.95    0.00   12345  |     0.00      0.25
| 2.72e+07     59321  |    -0.99    0.00   12345  |     0.00      0.25
| 2.72e+07     59363  |    -0.98    0.00   12345  |     0.00      0.31
| 2.72e+07     59406  |    -1.14    0.00   12345  |     0.00      0.29
| 2.73e+07     59448  |    -1.27    0.00   12345  |     0.22      0.25
| 2.73e+07     59490  |    -1.21    0.00   12345  |     0.19      0.23
| 2.73e+07     59532  |    -1.46    0.00   12345  |     0.18      0.26
| 2.73e+07     59574  |    -1.00    0.00   12345  |     0.11      0.29
| 2.73e+07     59615  |    -1.03    0.00   12345  |     0.27      0.32
| 2.74e+07     59657  |    -0.98    0.00   12345  |     0.07      0.25
| 2.74e+07     59699  |    -1.01    0.00   12345  |     0.09      0.24
| 2.74e+07     59742  |    -1.25    0.00   12345  |     0.58      0.37
| 2.74e+07     59784  |    -1.07    0.00   12345  |     0.09      0.30
| 2.74e+07     59825  |    -1.38    0.00   12345  |     0.00      0.30
| 2.75e+07     59867  |    -1.18    0.00   12345  |     0.00      0.30
| 2.75e+07     59909  |    -1.00    0.00   12345  |     0.00      0.28
| 2.75e+07     59951  |    -1.01    0.00   12345  |     0.00      0.30
| 2.75e+07     59993  |    -1.36    0.00   12345  |     0.00      0.30
| 2.75e+07     60035  |    -1.11    0.00   12345  |     0.00      0.30
| 2.76e+07     60078  |    -1.73    0.00   12345  |     0.00      0.31
| 2.76e+07     60121  |    -0.93    0.00   12345  |     0.00      0.31
| 2.76e+07     60164  |    -1.39    0.00   12345  |     0.83      0.29
| 2.76e+07     60206  |    -1.01    0.00   12345  |     1.26      0.37
| 2.76e+07     60248  |    -1.05    0.00   12345  |     0.27      0.27
| 2.77e+07     60290  |    -1.48    0.00   12345  |     0.33      0.24
| 2.77e+07     60332  |    -1.00    0.00   12345  |     1.70      0.29
| 2.77e+07     60374  |    -1.02    0.00   12345  |     1.29      0.29
| 2.77e+07     60415  |    -1.44    0.00   12345  |     0.21      0.26
| 2.77e+07     60458  |    -1.01    0.00   12345  |     0.57      0.28
| 2.78e+07     60501  |    -1.41    0.00   12345  |     0.52      0.29
| 2.78e+07     60543  |    -1.08    0.00   12345  |     0.33      0.27
| 2.78e+07     60586  |    -1.27    0.00   12345  |     0.65      0.33
| 2.78e+07     60628  |    -1.01    0.00   12345  |     0.33      0.24
| 2.78e+07     60669  |    -1.42    0.00   12345  |     0.68      0.27
| 2.79e+07     60711  |    -0.98    0.00   12345  |     1.82      0.24
| 2.79e+07     60754  |    -0.99    0.00   12345  |     0.79      0.30
| 2.79e+07     60798  |    -0.99    0.00   12345  |     0.53      0.29
| 2.79e+07     60841  |    -0.97    0.00   12345  |     0.61      0.25
| 2.79e+07     60883  |    -1.45    0.00   12345  |     0.96      0.31
| 2.80e+07     60925  |    -1.01    0.00   12345  |     0.67      0.28
| 2.80e+07     60967  |    -1.37    0.00   12345  |     0.00      0.26
| 2.80e+07     61009  |    -1.05    0.00   12345  |     0.00      0.28
| 2.80e+07     61051  |    -1.04    0.00   12345  |     0.00      0.23
| 2.80e+07     61093  |    -1.18    0.00   12345  |     0.00      0.29
| 2.81e+07     61136  |    -1.37    0.00   12345  |     0.24      0.25
| 2.81e+07     61178  |    -0.94    0.00   12345  |     0.35      0.25
| 2.81e+07     61220  |    -1.30    0.00   12345  |     0.42      0.33
| 2.81e+07     61262  |    -1.04    0.00   12345  |     0.06      0.26
| 2.81e+07     61304  |    -0.95    0.00   12345  |     0.30      0.32
| 2.82e+07     61345  |    -1.25    0.00   12345  |     0.10      0.25
| 2.82e+07     61387  |    -1.48    0.00   12345  |     0.10      0.25
| 2.82e+07     61430  |    -0.97    0.00   12345  |     0.17      0.25
| 2.82e+07     61473  |    -1.07    0.00   12345  |     0.12      0.26
| 2.82e+07     61515  |    -1.07    0.00   12345  |     0.00      0.31
| 2.83e+07     61556  |    -1.02    0.00   12345  |     0.00      0.32
| 2.83e+07     61598  |    -1.46    0.00   12345  |     0.00      0.31
| 2.83e+07     61640  |    -1.57    0.00   12345  |     0.00      0.32
| 2.83e+07     61682  |    -1.46    0.00   12345  |     0.00      0.31
| 2.83e+07     61724  |    -1.24    0.00   12345  |     0.00      0.30
| 2.84e+07     61766  |    -1.52    0.00   12345  |     0.00      0.32
| 2.84e+07     61809  |    -1.50    0.00   12345  |     0.00      0.32
| 2.84e+07     61852  |    -1.05    0.00   12345  |     0.69      0.31
| 2.84e+07     61894  |    -1.33    0.00   12345  |     0.70      0.31
| 2.84e+07     61936  |    -0.98    0.00   12345  |     0.46      0.27
| 2.85e+07     61978  |    -0.97    0.00   12345  |     0.43      0.27
| 2.85e+07     62020  |    -0.94    0.00   12345  |     1.42      0.26
| 2.85e+07     62062  |    -1.00    0.00   12345  |     1.59      0.29
| 2.85e+07     62105  |    -1.04    0.00   12345  |     0.19      0.24
| 2.85e+07     62147  |    -1.13    0.00   12345  |     0.85      0.33
| 2.86e+07     62189  |    -1.02    0.00   12345  |     0.55      0.30
| 2.86e+07     62231  |    -0.97    0.00   12345  |     0.27      0.27
| 2.86e+07     62272  |    -0.96    0.00   12345  |     0.65      0.33
| 2.86e+07     62315  |    -0.95    0.00   12345  |     0.28      0.26
| 2.86e+07     62357  |    -0.93    0.00   12345  |     0.74      0.27
| 2.87e+07     62400  |    -0.97    0.00   12345  |     1.50      0.26
| 2.87e+07     62442  |    -1.05    0.00   12345  |     0.76      0.27
| 2.87e+07     62484  |    -0.95    0.00   12345  |     0.51      0.31
| 2.87e+07     62527  |    -1.04    0.00   12345  |     0.62      0.30
| 2.87e+07     62568  |    -0.97    0.00   12345  |     0.95      0.31
| 2.88e+07     62610  |    -0.95    0.00   12345  |     0.96      0.26
| 2.88e+07     62652  |    -0.99    0.00   12345  |     0.00      0.25
| 2.88e+07     62693  |    -1.42    0.00   12345  |     0.00      0.25
| 2.88e+07     62735  |    -1.05    0.00   12345  |     0.00      0.27
| 2.88e+07     62776  |    -1.05    0.00   12345  |     0.00      0.32
| 2.89e+07     62819  |    -1.04    0.00   12345  |     0.19      0.27
| 2.89e+07     62861  |    -1.53    0.00   12345  |     0.33      0.28
| 2.89e+07     62903  |    -1.02    0.00   12345  |     0.26      0.31
| 2.89e+07     62945  |    -1.22    0.00   12345  |     0.08      0.28
| 2.89e+07     62989  |    -1.01    0.00   12345  |     0.14      0.31
| 2.90e+07     63031  |    -1.14    0.00   12345  |     0.12      0.26
| 2.90e+07     63072  |    -0.99    0.00   12345  |     0.08      0.25
| 2.90e+07     63115  |    -1.42    0.00   12345  |     0.10      0.25
| 2.90e+07     63157  |    -1.21    0.00   12345  |     0.21      0.29
| 2.90e+07     63199  |    -1.05    0.00   12345  |     0.00      0.33
| 2.91e+07     63241  |    -1.07    0.00   12345  |     0.00      0.33
| 2.91e+07     63283  |    -1.31    0.00   12345  |     0.00      0.33
| 2.91e+07     63325  |    -1.01    0.00   12345  |     0.00      0.34
| 2.91e+07     63368  |    -1.09    0.00   12345  |     0.00      0.32
| 2.91e+07     63410  |    -0.98    0.00   12345  |     0.00      0.32
| 2.92e+07     63451  |    -1.03    0.00   12345  |     0.00      0.32
| 2.92e+07     63493  |    -0.95    0.00   12345  |     3.19      0.43
| 2.92e+07     63535  |    -0.96    0.00   12345  |     0.60      0.33
| 2.92e+07     63578  |    -1.03    0.00   12345  |     0.55      0.29
| 2.92e+07     63620  |    -1.00    0.00   12345  |     0.60      0.32
| 2.93e+07     63661  |    -0.95    0.00   12345  |     0.59      0.33
| 2.93e+07     63703  |    -1.23    0.00   12345  |     1.38      0.26
| 2.93e+07     63745  |    -1.44    0.00   12345  |     0.85      0.29
| 2.93e+07     63787  |    -1.03    0.00   12345  |     0.26      0.29
| 2.93e+07     63828  |    -1.29    0.00   12345  |     1.12      0.35
| 2.94e+07     63870  |    -1.27    0.00   12345  |     0.75      0.25
| 2.94e+07     63912  |    -1.05    0.00   12345  |     0.22      0.26
| 2.94e+07     63954  |    -1.00    0.00   12345  |     0.26      0.26
| 2.94e+07     63996  |    -1.13    0.00   12345  |     0.30      0.27
| 2.94e+07     64038  |    -1.02    0.00   12345  |     1.42      0.40
| 2.95e+07     64080  |    -1.02    0.00   12345  |     0.83      0.26
| 2.95e+07     64122  |    -1.01    0.00   12345  |     0.71      0.29
| 2.95e+07     64164  |    -1.14    0.00   12345  |     0.75      0.32
| 2.95e+07     64206  |    -0.99    0.00   12345  |     0.71      0.33
| 2.95e+07     64248  |    -1.15    0.00   12345  |     0.37      0.28
| 2.96e+07     64290  |    -0.93    0.00   12345  |     0.62      0.28
| 2.96e+07     64334  |    -1.11    0.00   12345  |     0.00      0.27
| 2.96e+07     64376  |    -1.09    0.00   12345  |     0.00      0.29
| 2.96e+07     64419  |    -1.24    0.00   12345  |     0.00      0.27
| 2.96e+07     64460  |    -1.02    0.00   12345  |     0.00      0.26
| 2.97e+07     64502  |    -1.42    0.00   12345  |     0.30      0.34
| 2.97e+07     64544  |    -1.10    0.00   12345  |     0.22      0.29
| 2.97e+07     64586  |    -1.47    0.00   12345  |     0.15      0.34
| 2.97e+07     64629  |    -1.35    0.00   12345  |     0.07      0.28
| 2.97e+07     64671  |    -1.21    0.00   12345  |     0.14      0.31
| 2.98e+07     64714  |    -1.16    0.00   12345  |     0.13      0.27
| 2.98e+07     64755  |    -1.42    0.00   12345  |     0.12      0.26
| 2.98e+07     64797  |    -1.16    0.00   12345  |     0.13      0.28
| 2.98e+07     64840  |    -0.96    0.00   12345  |     0.42      0.36
| 2.98e+07     64881  |    -1.46    0.00   12345  |     0.00      0.32
| 2.99e+07     64924  |    -1.42    0.00   12345  |     0.00      0.35
| 2.99e+07     64966  |    -1.32    0.00   12345  |     0.00      0.33
| 2.99e+07     65008  |    -0.98    0.00   12345  |     0.00      0.34
| 2.99e+07     65050  |    -1.41    0.00   12345  |     0.00      0.34
| 2.99e+07     65092  |    -1.33    0.00   12345  |     0.00      0.33
| 3.00e+07     65136  |    -0.94    0.00   12345  |     0.00      0.32
| 3.00e+07     65179  |    -1.35    0.00   12345  |     3.90      0.43
| 3.00e+07     65221  |    -1.01    0.00   12345  |     0.64      0.35
| 3.00e+07     65264  |    -0.98    0.00   12345  |     0.46      0.28
| 3.00e+07     65305  |    -0.99    0.00   12345  |     0.64      0.30
| 3.01e+07     65347  |    -1.04    0.00   12345  |     0.62      0.31
| 3.01e+07     65389  |    -1.06    0.00   12345  |     1.29      0.29
| 3.01e+07     65431  |    -0.97    0.00   12345  |     0.70      0.26
| 3.01e+07     65473  |    -1.02    0.00   12345  |     0.63      0.32
| 3.01e+07     65515  |    -1.39    0.00   12345  |     0.81      0.36
| 3.02e+07     65557  |    -1.18    0.00   12345  |     0.68      0.25
| 3.02e+07     65598  |    -1.15    0.00   12345  |     0.40      0.35
| 3.02e+07     65640  |    -1.03    0.00   12345  |     0.16      0.25
| 3.02e+07     65682  |    -1.15    0.00   12345  |     0.43      0.26
| 3.02e+07     65724  |    -1.01    0.00   12345  |     1.69      0.39
| 3.03e+07     65766  |    -1.21    0.00   12345  |     0.67      0.26
| 3.03e+07     65808  |    -1.19    0.00   12345  |     0.83      0.32
| 3.03e+07     65850  |    -0.97    0.00   12345  |     0.81      0.33
| 3.03e+07     65891  |    -1.26    0.00   12345  |     0.65      0.26
| 3.03e+07     65933  |    -1.60    0.00   12345  |     0.60      0.26
| 3.04e+07     65975  |    -1.31    0.00   12345  |     0.14      0.36
| 3.04e+07     66017  |    -1.19    0.00   12345  |     0.00      0.24
| 3.04e+07     66060  |    -0.90    0.00   12345  |     0.00      0.27
| 3.04e+07     66101  |    -0.99    0.00   12345  |     0.00      0.26
| 3.04e+07     66144  |    -0.95    0.00   12345  |     0.00      0.25
| 3.05e+07     66186  |    -1.28    0.00   12345  |     0.43      0.32
| 3.05e+07     66227  |    -1.51    0.00   12345  |     0.14      0.25
| 3.05e+07     66270  |    -1.07    0.00   12345  |     0.07      0.27
| 3.05e+07     66312  |    -1.00    0.00   12345  |     0.08      0.31
| 3.05e+07     66354  |    -1.01    0.00   12345  |     0.13      0.32
| 3.06e+07     66395  |    -0.95    0.00   12345  |     0.11      0.24
| 3.06e+07     66439  |    -0.93    0.00   12345  |     0.13      0.26
| 3.06e+07     66482  |    -1.01    0.00   12345  |     0.11      0.28
| 3.06e+07     66525  |    -0.99    0.00   12345  |     0.42      0.36
| 3.06e+07     66567  |    -1.00    0.00   12345  |     0.00      0.31
| 3.07e+07     66609  |    -1.25    0.00   12345  |     0.00      0.29
| 3.07e+07     66651  |    -1.48    0.00   12345  |     0.00      0.29
| 3.07e+07     66693  |    -0.95    0.00   12345  |     0.00      0.30
| 3.07e+07     66735  |    -1.01    0.00   12345  |     0.00      0.29
| 3.07e+07     66777  |    -0.96    0.00   12345  |     0.00      0.30
| 3.08e+07     66819  |    -1.08    0.00   12345  |     0.00      0.31
| 3.08e+07     66861  |    -1.11    0.00   12345  |     0.29      0.30
| 3.08e+07     66903  |    -0.96    0.00   12345  |     0.61      0.33
| 3.08e+07     66944  |    -1.32    0.00   12345  |     0.48      0.33
| 3.08e+07     66986  |    -1.29    0.00   12345  |     0.82      0.40
| 3.09e+07     67028  |    -0.90    0.00   12345  |     0.55      0.28
| 3.09e+07     67070  |    -1.01    0.00   12345  |     0.93      0.31
| 3.09e+07     67112  |    -1.51    0.00   12345  |     0.81      0.26
| 3.09e+07     67155  |    -1.37    0.00   12345  |     0.61      0.30
| 3.09e+07     67197  |    -0.99    0.00   12345  |     0.47      0.26
| 3.10e+07     67239  |    -1.45    0.00   12345  |     0.70      0.29
| 3.10e+07     67281  |    -1.18    0.00   12345  |     0.54      0.35
| 3.10e+07     67323  |    -1.03    0.00   12345  |     0.35      0.33
| 3.10e+07     67365  |    -1.37    0.00   12345  |     0.63      0.28
| 3.10e+07     67407  |    -1.01    0.00   12345  |     0.90      0.28
| 3.11e+07     67449  |    -1.45    0.00   12345  |     0.76      0.26
| 3.11e+07     67492  |    -1.44    0.00   12345  |     0.99      0.29
| 3.11e+07     67535  |    -1.30    0.00   12345  |     0.47      0.26
| 3.11e+07     67577  |    -1.04    0.00   12345  |     0.68      0.29
| 3.11e+07     67618  |    -1.00    0.00   12345  |     0.79      0.28
| 3.12e+07     67661  |    -1.04    0.00   12345  |     0.00      0.33
| 3.12e+07     67702  |    -1.39    0.00   12345  |     0.00      0.28
| 3.12e+07     67745  |    -1.11    0.00   12345  |     0.00      0.32
| 3.12e+07     67786  |    -1.16    0.00   12345  |     0.00      0.29
| 3.12e+07     67828  |    -1.21    0.00   12345  |     0.00      0.30
| 3.13e+07     67870  |    -0.95    0.00   12345  |     0.37      0.28
| 3.13e+07     67912  |    -1.40    0.00   12345  |     0.11      0.26
| 3.13e+07     67956  |    -1.29    0.00   12345  |     0.07      0.27
| 3.13e+07     67999  |    -0.94    0.00   12345  |     0.21      0.34
| 3.13e+07     68041  |    -1.02    0.00   12345  |     0.17      0.32
| 3.14e+07     68083  |    -1.46    0.00   12345  |     0.11      0.25
| 3.14e+07     68125  |    -1.48    0.00   12345  |     0.11      0.27
| 3.14e+07     68167  |    -1.06    0.00   12345  |     0.16      0.27
| 3.14e+07     68210  |    -1.33    0.00   12345  |     0.22      0.32
| 3.14e+07     68253  |    -1.43    0.00   12345  |     0.00      0.30
| 3.15e+07     68297  |    -0.99    0.00   12345  |     0.00      0.29
| 3.15e+07     68340  |    -1.29    0.00   12345  |     0.00      0.29
| 3.15e+07     68383  |    -1.43    0.00   12345  |     0.00      0.30
| 3.15e+07     68426  |    -1.08    0.00   12345  |     0.00      0.30
| 3.15e+07     68469  |    -1.49    0.00   12345  |     0.00      0.31
| 3.16e+07     68513  |    -1.43    0.00   12345  |     0.00      0.30
| 3.16e+07     68556  |    -1.65    0.00   12345  |     0.27      0.29
| 3.16e+07     68598  |    -1.38    0.00   12345  |     0.58      0.28
| 3.16e+07     68639  |    -1.38    0.00   12345  |     0.42      0.33
| 3.16e+07     68681  |    -1.44    0.00   12345  |     0.81      0.39
| 3.17e+07     68724  |    -0.96    0.00   12345  |     0.62      0.30
| 3.17e+07     68766  |    -1.19    0.00   12345  |     1.03      0.32
| 3.17e+07     68808  |    -1.44    0.00   12345  |     0.73      0.26
| 3.17e+07     68851  |    -1.55    0.00   12345  |     0.46      0.28
| 3.17e+07     68893  |    -1.38    0.00   12345  |     0.43      0.26
| 3.18e+07     68934  |    -1.50    0.00   12345  |     0.98      0.33
| 3.18e+07     68979  |    -1.52    0.00   12345  |     0.26      0.26
| 3.18e+07     69021  |    -1.11    0.00   12345  |     0.40      0.32
| 3.18e+07     69063  |    -1.46    0.00   12345  |     0.73      0.28
| 3.18e+07     69107  |    -1.17    0.00   12345  |     1.07      0.28
| 3.19e+07     69150  |    -1.38    0.00   12345  |     0.94      0.27
| 3.19e+07     69192  |    -1.38    0.00   12345  |     0.96      0.28
| 3.19e+07     69233  |    -1.46    0.00   12345  |     0.61      0.28
| 3.19e+07     69276  |    -1.44    0.00   12345  |     0.70      0.30
| 3.19e+07     69319  |    -1.32    0.00   12345  |     0.59      0.29
| 3.20e+07     69360  |    -1.36    0.00   12345  |     0.00      0.29
| 3.20e+07     69402  |    -1.03    0.00   12345  |     0.00      0.29
| 3.20e+07     69445  |    -1.41    0.00   12345  |     0.00      0.31
| 3.20e+07     69487  |    -1.03    0.00   12345  |     0.00      0.29
| 3.20e+07     69530  |    -1.42    0.00   12345  |     0.00      0.29
| 3.21e+07     69572  |    -1.22    0.00   12345  |     0.35      0.24
| 3.21e+07     69615  |    -1.21    0.00   12345  |     0.18      0.31
| 3.21e+07     69657  |    -1.12    0.00   12345  |     0.10      0.28
| 3.21e+07     69699  |    -1.07    0.00   12345  |     0.27      0.32
| 3.21e+07     69740  |    -0.94    0.00   12345  |     0.18      0.27
| 3.22e+07     69782  |    -1.18    0.00   12345  |     0.12      0.28
| 3.22e+07     69824  |    -1.01    0.00   12345  |     0.13      0.29
| 3.22e+07     69867  |    -1.02    0.00   12345  |     0.25      0.28
| 3.22e+07     69910  |    -1.11    0.00   12345  |     0.16      0.31
| 3.22e+07     69953  |    -1.50    0.00   12345  |     0.00      0.29
| 3.23e+07     69995  |    -1.28    0.00   12345  |     0.00      0.30
| 3.23e+07     70036  |    -1.03    0.00   12345  |     0.00      0.28
| 3.23e+07     70078  |    -1.44    0.00   12345  |     0.00      0.30
| 3.23e+07     70120  |    -1.29    0.00   12345  |     0.00      0.31
| 3.23e+07     70161  |    -1.45    0.00   12345  |     0.00      0.29
| 3.24e+07     70203  |    -1.00    0.00   12345  |     0.00      0.29
| 3.24e+07     70245  |    -1.12    0.00   12345  |     0.36      0.30
| 3.24e+07     70287  |    -1.36    0.00   12345  |     0.76      0.29
| 3.24e+07     70330  |    -1.00    0.00   12345  |     0.37      0.30
| 3.24e+07     70373  |    -1.10    0.00   12345  |     0.32      0.28
| 3.25e+07     70416  |    -1.50    0.00   12345  |     0.51      0.32
| 3.25e+07     70457  |    -0.98    0.00   12345  |     1.14      0.32
| 3.25e+07     70499  |    -1.01    0.00   12345  |     0.58      0.29
| 3.25e+07     70542  |    -1.40    0.00   12345  |     0.51      0.28
| 3.25e+07     70584  |    -1.33    0.00   12345  |     0.54      0.28
| 3.26e+07     70626  |    -1.34    0.00   12345  |     0.87      0.35
| 3.26e+07     70668  |    -1.13    0.00   12345  |     0.22      0.27
| 3.26e+07     70710  |    -1.09    0.00   12345  |     0.30      0.27
| 3.26e+07     70753  |    -1.48    0.00   12345  |     0.72      0.32
| 3.26e+07     70794  |    -1.39    0.00   12345  |     1.13      0.28
| 3.27e+07     70836  |    -1.48    0.00   12345  |     1.41      0.32
| 3.27e+07     70878  |    -1.18    0.00   12345  |     0.94      0.29
| 3.27e+07     70920  |    -1.52    0.00   12345  |     0.72      0.31
| 3.27e+07     70962  |    -0.92    0.00   12345  |     0.74      0.29
| 3.27e+07     71005  |    -1.01    0.00   12345  |     0.76      0.31
| 3.28e+07     71047  |    -1.37    0.00   12345  |     0.00      0.25
| 3.28e+07     71089  |    -1.17    0.00   12345  |     0.00      0.30
| 3.28e+07     71132  |    -1.00    0.00   12345  |     0.00      0.30
| 3.28e+07     71174  |    -1.36    0.00   12345  |     0.00      0.30
| 3.28e+07     71215  |    -1.39    0.00   12345  |     0.00      0.30
| 3.29e+07     71257  |    -1.25    0.00   12345  |     0.41      0.30
| 3.29e+07     71298  |    -1.16    0.00   12345  |     0.22      0.33
| 3.29e+07     71340  |    -1.35    0.00   12345  |     0.15      0.29
| 3.29e+07     71381  |    -0.97    0.00   12345  |     0.17      0.29
| 3.29e+07     71424  |    -1.25    0.00   12345  |     0.18      0.30
| 3.30e+07     71467  |    -1.28    0.00   12345  |     0.12      0.26
| 3.30e+07     71510  |    -1.43    0.00   12345  |     0.14      0.28
| 3.30e+07     71552  |    -0.93    0.00   12345  |     0.21      0.30
| 3.30e+07     71594  |    -1.55    0.00   12345  |     0.11      0.30
| 3.30e+07     71635  |    -1.25    0.00   12345  |     0.00      0.32
| 3.31e+07     71677  |    -1.36    0.00   12345  |     0.00      0.33
| 3.31e+07     71719  |    -0.98    0.00   12345  |     0.00      0.34
| 3.31e+07     71760  |    -0.90    0.00   12345  |     0.00      0.33
| 3.31e+07     71802  |    -1.42    0.00   12345  |     0.00      0.33
| 3.31e+07     71845  |    -1.29    0.00   12345  |     0.00      0.33
| 3.32e+07     71888  |    -1.41    0.00   12345  |     0.00      0.33
| 3.32e+07     71930  |    -1.28    0.00   12345  |     0.29      0.31
| 3.32e+07     71971  |    -1.38    0.00   12345  |     0.66      0.32
| 3.32e+07     72013  |    -0.96    0.00   12345  |     0.35      0.31
| 3.32e+07     72057  |    -1.03    0.00   12345  |     0.26      0.27
| 3.33e+07     72099  |    -1.12    0.00   12345  |     1.00      0.38
| 3.33e+07     72142  |    -1.45    0.00   12345  |     0.73      0.29
| 3.33e+07     72184  |    -0.94    0.00   12345  |     0.62      0.31
| 3.33e+07     72225  |    -1.52    0.00   12345  |     0.49      0.29
| 3.33e+07     72267  |    -0.82    0.00   12345  |     0.38      0.29
| 3.34e+07     72309  |    -0.99    0.00   12345  |     0.45      0.26
| 3.34e+07     72350  |    -1.39    0.00   12345  |     0.39      0.33
| 3.34e+07     72392  |    -1.33    0.00   12345  |     0.30      0.30
| 3.34e+07     72433  |    -1.52    0.00   12345  |     0.53      0.33
| 3.34e+07     72476  |    -1.22    0.00   12345  |     0.97      0.29
| 3.35e+07     72517  |    -1.32    0.00   12345  |     1.49      0.32
| 3.35e+07     72559  |    -1.47    0.00   12345  |     1.12      0.28
| 3.35e+07     72600  |    -1.42    0.00   12345  |     0.49      0.31
| 3.35e+07     72642  |    -1.05    0.00   12345  |     0.73      0.33
| 3.35e+07     72686  |    -1.38    0.00   12345  |     0.98      0.30
| 3.36e+07     72729  |    -1.08    0.00   12345  |     0.00      0.23
| 3.36e+07     72771  |    -1.17    0.00   12345  |     0.00      0.32
| 3.36e+07     72814  |    -1.33    0.00   12345  |     0.00      0.34
| 3.36e+07     72856  |    -1.30    0.00   12345  |     0.00      0.34
| 3.36e+07     72899  |    -1.34    0.00   12345  |     0.00      0.35
| 3.37e+07     72941  |    -0.96    0.00   12345  |     0.49      0.30
| 3.37e+07     72983  |    -1.12    0.00   12345  |     0.21      0.34
| 3.37e+07     73026  |    -1.07    0.00   12345  |     0.19      0.28
| 3.37e+07     73068  |    -1.19    0.00   12345  |     0.14      0.30
| 3.37e+07     73109  |    -1.28    0.00   12345  |     0.38      0.28
| 3.38e+07     73151  |    -1.33    0.00   12345  |     0.09      0.25
| 3.38e+07     73194  |    -1.19    0.00   12345  |     0.15      0.27
| 3.38e+07     73237  |    -1.18    0.00   12345  |     0.16      0.31
| 3.38e+07     73280  |    -1.22    0.00   12345  |     0.05      0.34
| 3.38e+07     73323  |    -1.33    0.00   12345  |     0.00      0.32
| 3.39e+07     73366  |    -1.22    0.00   12345  |     0.00      0.34
| 3.39e+07     73410  |    -1.34    0.00   12345  |     0.00      0.33
| 3.39e+07     73452  |    -1.53    0.00   12345  |     0.00      0.32
| 3.39e+07     73494  |    -1.30    0.00   12345  |     0.00      0.33
| 3.39e+07     73536  |    -1.58    0.00   12345  |     0.00      0.31
| 3.40e+07     73578  |    -1.59    0.00   12345  |     0.00      0.33
| 3.40e+07     73619  |    -1.33    0.00   12345  |     0.33      0.32
| 3.40e+07     73662  |    -0.89    0.00   12345  |     0.56      0.33
| 3.40e+07     73704  |    -1.23    0.00   12345  |     0.36      0.29
| 3.40e+07     73745  |    -0.92    0.00   12345  |     0.32      0.30
| 3.41e+07     73788  |    -1.21    0.00   12345  |     0.95      0.38
| 3.41e+07     73830  |    -1.42    0.00   12345  |     0.71      0.30
